391,POSSESSION\DISTRBUTION MANUFACTURING SCHEDULE V
392,POSSESSION OF ALCOHOLIC BEVERAGES AT BREC PARKS AND FACILITIES PROHIBITED
393,INJURING OR KILLING OF A POLICE ANIMAL
394,PENALTY FOR DISTRIBUTION OR POSSESSION WITH INTENT TO DISTRITUBE NARCOTIC DRUGS LISTED IN SCHEDULE I; POSSESSION OF MARIJUANA
395,DISPLAY OF TEMPORARY REGISTRATION LICENSE PLATES
396,SPEEDING (1-15 MPH OVER LIMIT)
397,BATTERY OF A BUS OPERATOR; PUBLIC TRANSIT
398,CRIMINAL DAMAGE TO PROPERTY BY DEFACING WITH GRAFITTI
399,"FAILURE TO SIGNAL (START, STOP, TURN)"
400,REGISTRATION CERTIFICATES
401,DAMAGE TO PROPERTY
402,THEFT OR CRIMINAL ACCESS OF AN ATM
403,THEFT OF LIVESTOCK
404,ASSAULT/SIMPLE/CC
405,SPEEDING; GENERAL LAW
406,TRAFFIC CONTROL SIGNALS
407,CHILD PASSENGER RESTRAINT SYSTEM
408,UNLAWFUL CONSUMPTION OF ALCOHOL BY PERSON UNDER TWNETY-ONE
409,INCITING A FELONY
410,NOISES INTERFERING WITH ENJOYMENT OF... PUBLIC PEACE
411,CRIMINAL TRESPASS - ALL OTHER OFFENSES
412,ARSON SIMPLE
413,METHOD OF GIVING HAND AND ARMS SIGNALS
414,SEAT BELT VIOL
415,DWI - CHILD ENDANGERMENT
416,THEFT - EMBEZZLEMENT
417,ABANDONDED/INOPERATIVE VEHICLE
418,HANDICAPPED PARKING
419,AGG ASSAULT WITH A MOTOR VEH UPON A PEACE OFFICER
420,AGGRAVATED ARSON
421,TRANSACTIONS INVOLVING PROCEEDS FROM DRUG OFFENSES.
422,"UNLAWFUL PRODUCTION, MANUFACTURING, DISTRIBUTION, OR POSSESSION OF FRAUDULENT DOCUMENTS FOR IDENTIFICATION PURPOSES"
423,FIREARM RECOVERY
424,LIC PLATE REQUIRED/CC
425,POSS  MARIJUANA
426,SIMPLE ASSAULT WITHOUT A DANGEROUS WEAPON
427,UNDERAGE OPERATING WHILE INTOXICATED
428,KEEPING A DISORDERLY PLACE
429,FIREARM-FREE ZONE; NOTICE; SIGNS
430,DISPLAY OF TEMPORARY LICENSE PLATE
431,HEARING TO DETERMINE IF A DOG IS DANGEROUS OR VICIOUS.
432,NEGLIGENT INJURING
433,IMPROPER WINDOW TINT
434,POSSESSION OF UNIDENTIFIABLE FIREARM; PARTICULARPENALTIES; IDENTIFICATION OF SOURCE OF FIREARM
435,SIMPLE BURGLARY/IMMOVEABLE
436,FLIGHT FROM AN OFFICER - AGGRAVATED FLIGHT FROM AN
437,(ATTEMPTED)DISARMING A PEACE OFFICER
438,BURG/S/INH DWEL RES DAY FORCE
439,CONTRIBUTING TO THE ENDANGERMENT OF A MINOR
440,CRIM DAM TO PROP/SIMPLE
441,HATE CRIMES
442,OBSTRUCTION OF JUSTICE - VANDALISM / DESTRUCTION
443,STOPPING VEH IN ROADWAY
444,URINATING IN PUBLIC
445,"CONTRABAND DEFINED, TAKING TO AND FROM PENAL INSTITUTIOINS"
446,BURGLARY/SIMPLE
447,RESIDENTIAL CONTRACTOR FRAUD
448,OBEDIENCE TO TRAFFIC-CONTROL DEVICES
449,VEHICLE ENTERING HIGHWAY FROM PRIVATE ROAD
450,ILLEGAL CARRYING OF WEAPONS WITH DRUGS
451,TRANSACTIONS INVOLVING PROCEEDS FROM DRUG OFFENCES.
452,DETERMINATION OF DRUG PARAPHERNALIA.
453,ILL USE OF A WEAPON
454,SIMPLE BATTERY OF A CHILD WELFARE WORKER
455,POSS ALC/BREC PARKS/CC
456,NONCONSENSUAL DISCLOSURE OF A PRIVATE IMAGE
457,UNLAWFUL USE OF BODY ARMOR
458,PROHIBITED USAGE OF TRACKING DEVICE(S)
459,PORNOGRAPHY INVOLVING JUVENILES
